ASV,downstreamASV,responseTime,responseCode,downstreamResponseTime,latencyMilliseconds
4,4,2935.995303575541,500,1624.8686261681455,5012.369755248138
2,2,3010.8421066466767,410,1291.2765578480157,5056.229120817994
4,1,2880.033032177074,302,347.74886794921997,9469.755120069276
3,2,2865.3013109299195,404,1476.2084698761062,4850.018486667401
2,2,2701.3553390931356,404,429.75709410500474,9302.419016679847
3,4,3071.46543307796,503,578.8114869615046,9673.604042447187
1,2,1337.3194276298495,410,1348.8210530359515,15160.018538803195
1,4,3122.516972480264,302,1786.963666897515,4785.6980273663385
4,3,3143.9783033500717,404,1675.0363623473233,4988.875900813471
1,1,2831.4169056687715,410,557.3083899781059,9612.050168597227
3,1,2791.8394194904586,302,559.2234068342536,9262.257254804977
1,1,2961.203256338689,200,435.7612345909167,9455.745954431919
2,2,2983.818022590714,200,423.4503716015223,9237.400754399994
3,1,3160.178341172687,410,1605.0530586357022,4762.422820044412
1,3,1452.964299143433,302,1584.6565407389332,15068.916398065221
3,1,1503.415291374332,301,1467.7717167943892,14878.101061748428
3,2,3033.5406262091424,410,353.5912959302158,9529.218343584285
1,3,3025.2553487973155,301,579.5634537146442,9670.849996422796
2,3,2944.1576919399176,500,1194.6570857629,5011.966035095716
3,1,3002.3995488938426,410,579.7953815047847,9712.767919769096
2,3,3061.024663956014,302,1411.7281457340325,4947.760368977528
4,2,1384.4111929474711,301,1608.2930963070269,15114.645646578492
3,2,3172.634621220164,301,1669.8603060926223,5016.196845378844
4,1,2983.7501220748522,410,1539.5417793489253,5111.441400924738
4,4,2958.9623077544843,200,292.62632514010977,9426.823040161633
2,1,1499.032039597769,200,1406.5029469314202,15144.350126928517
2,2,3157.67414441792,503,414.7450176238291,9555.309756939612
1,3,1614.1959219103805,301,1361.6984016489378,14882.814187647653
3,3,1654.4060652143462,200,1506.6938418734958,15114.314811834764
2,2,3292.506823916924,404,472.7382510425877,9684.06986921553
4,2,2969.906092616348,503,590.9121987432296,9485.183033671114
3,2,2925.511191107953,500,1431.8133593997484,4927.460058517554
1,1,2970.9834359927486,404,684.4508879912569,9454.922822074639
3,4,1610.8378489313411,301,1526.6049718211361,14868.762355607498
3,3,2821.200421746489,503,585.9915548047227,9523.768151450744
4,3,3139.6314681036947,302,618.6684029372243,9530.074811450868
3,2,3018.214531229825,503,1519.08662574177,4944.289791439553
1,2,998.6843101797772,404,1489.1854295399364,14903.084928004242
4,3,2908.9431939146075,302,1373.7596781935922,4948.286444049185
3,2,3010.3424480076515,410,1448.840382277921,4894.031125078397
1,2,3081.70974835441,410,439.9415741728591,9313.421351993506
2,2,3069.7159146259546,500,308.84602613906316,9863.055119987619
3,1,2906.9930261765867,503,368.64896208227685,9393.481782158617
3,3,1321.805070925735,301,1612.090966164751,15122.299090858885
1,1,3073.4946338023396,404,1467.6734295769916,5141.065665540772
2,1,1538.1006099067888,500,1630.0055206220595,15044.699781025965
1,4,2835.1429778480665,404,333.1334554084185,9625.011122997314
1,3,1473.7408697585813,301,1409.2135537237752,14757.279916245167
3,4,1632.0767151374798,503,1251.5409435646454,15390.08724529688
2,2,3042.637123837336,410,733.6784260576474,9197.855742614673
3,4,1857.1319078382298,200,1407.7871292159127,15128.448288011114
2,1,3048.8714347147893,503,384.05094918775114,9358.074230382686
3,4,1891.4336707806242,404,1555.1274649757308,14727.77746001576
3,4,3183.0683244078364,200,587.4131015395868,9720.062012849114
4,2,1320.3103483817783,301,1496.1424630119711,15004.182929514944
1,2,3098.52886624636,404,208.39566798029148,9562.222514079576
4,3,1426.5551569426777,503,1626.4118793494204,14914.58728095002
1,3,1695.4494247208017,301,1562.1053828900451,14917.384591209893
1,2,3064.1487494101452,200,578.5732317880213,9553.931452535438
4,2,2975.8676752677097,410,585.7689028060273,9472.026667723349
3,4,3058.1231023822343,410,1378.665320907222,4928.542490760764
2,3,2968.182525055961,500,1428.2672670848583,4905.514860769716
1,3,3132.129618370197,503,739.8549983518193,9285.551938015338
3,2,3046.19971677949,404,1418.0898321620898,4916.50464010707
3,3,1470.4196824003373,200,1788.6304077899904,14711.661432963907
4,3,1630.8323329340565,410,1439.4009259876136,14722.387581237157
1,4,1805.5014699591702,503,1567.4164559820554,15158.376969453706
4,1,2973.2586304781576,301,408.09691420969995,9445.0933132722
3,2,2960.1343509824455,500,1257.0172881845824,4983.2712516209485
4,2,3186.7703391913838,301,539.3831316498718,9707.793321164512
2,3,3119.2433995394867,500,1684.992029390205,4946.353659870306
1,3,2952.3120703566365,500,1351.5209558822241,4930.754286513914
4,4,1442.9348139945128,410,1455.1509277537493,15083.56497047371
2,4,2975.278714265081,500,640.8060789372811,9476.90246459535
3,3,3141.1585976028136,500,1406.4539958635994,4910.714075267454
2,2,1578.3057549736875,404,1488.2153999836883,15290.603876448069
1,2,1703.2164328464241,302,1423.4365735709441,14871.517270050335
1,2,2909.041982218976,500,1589.9394170923135,5236.78266213643
4,2,2977.1309299658524,200,1472.5822758033466,4952.4109795907625
4,1,3012.4032213788346,301,547.2686707937196,9752.280035756916
2,2,3216.4369084245086,301,354.28822150729303,9690.032666574425
2,1,2914.9230361543414,500,1405.8968594740043,4979.620168360262
1,3,3063.4346730156094,500,1528.2143389530008,5038.648464442555
3,1,2999.278897774157,500,1270.7053925661985,4971.161273560927
1,2,1507.0839149262702,410,1871.8505364676676,14621.42478547474
1,4,3000.603099730182,200,1563.3421564841751,4950.789974489787
4,1,2912.7584798342323,302,508.0475125897195,9469.5502259229
4,3,3209.872974376521,503,1449.2605147656157,5024.296966763965
3,3,1361.4205125232402,410,1471.0033561066462,15027.32251886007
4,1,3089.8478209168115,302,1352.0764984361883,5016.978286855968
4,4,1422.9347252509347,404,1453.9514734352542,14855.742913920521
3,3,1720.2480524934815,200,1712.7629261141087,14885.863147645528
1,3,3063.130843828668,503,1533.5515212849455,5194.211582971606
2,3,2914.4665085838133,200,1275.4130491764793,4833.21444135032
4,1,2945.090227284133,200,329.51991708867104,9702.451478740819
2,2,2988.5306332388045,302,548.7989334190427,9684.854674734384
4,1,1365.2788943810092,200,1631.7283879831762,14559.790938580687
